Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1639064112.918113,165323,1639064112,914875996,base_mag,491.9242248535156,-76.18711853027344,189.99749755859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.9368906,165324,1639064112,933585614,base_mag,484.3995666503906,-89.35526275634766,200.34390258789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.9423475,165325,1639064112,939100501,base_mag,484.3995666503906,-89.35526275634766,200.34390258789062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.9480753,165326,1639064112,944861384,base_mag,470.29083251953125,-119.45387268066406,222.91786193847656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.95948,165327,1639064112,954864179,base_mag,460.8850402832031,-136.38433837890625,228.5613555908203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.968181,165328,1639064112,964876975,base_mag,453.3603820800781,-145.7901611328125,236.08599853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.9781427,165329,1639064112,974844771,base_mag,443.9545593261719,-156.13656616210938,237.9671630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.9932954,165330,1639064112,989894464,base_mag,437.3704833984375,-167.4235382080078,241.7294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.009033,165331,1639064113,4735161,base_mag,429.8458251953125,-182.4728546142578,249.254150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.0208957,165332,1639064113,14884954,base_mag,421.3805847167969,-192.81924438476562,252.07589721679688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.0301156,165333,1639064113,24988748,base_mag,417.6182861328125,-197.52215576171875,255.83822631835938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.0446723,165334,1639064113,39230458,base_mag,414.7965393066406,-200.34390258789062,258.65997314453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.057827,165335,1639064113,49498249,base_mag,410.0936279296875,-205.04681396484375,264.303466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.0703158,165336,1639064113,60425026,base_mag,406.331298828125,-205.98739624023438,271.8280944824219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064113.0801725,165337,1639064113,71654797,base_mag,403.5095520019531,-202.22506713867188,276.531005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
