Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1639064112.3590393,165270,1639064112,342815676,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5809686183929443,1.1022824048995972,0.8064051866531372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.294356346130371,0.8068459630012512,-1.302445650100708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.3592722,165271,1639064112,352748473,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5680522322654724,1.2271846532821655,0.8249141573905945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.580107688903809,-0.31124621629714966,-2.456450939178467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.3669703,165272,1639064112,362730269,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5250422358512878,1.3961621522903442,0.6107959747314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.63517427444458,-1.1731587648391724,-2.9664158821105957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.375928,165273,1639064112,372737065,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.39441415667533875,1.4229270219802856,0.3254382908344269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.51067590713501,-2.765302896499634,-3.1004910469055176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.38565,165274,1639064112,382776860,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26338663697242737,1.3257216215133667,0.08588694781064987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.55616569519043,-4.491522312164307,-2.8371288776397705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.4100223,165275,1639064112,404545416,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18815232813358307,1.1124024391174316,-0.03422161936759949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.54419469833374,-5.983109951019287,-2.3104045391082764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.4151042,165276,1639064112,408929326,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1619201898574829,0.8353005051612854,0.0878843143582344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9169139862060547,-7.953537940979004,-1.867477297782898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.422378,165277,1639064112,419843103,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047271110117435455,0.6364954710006714,0.2147839367389679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8802247047424316,-9.763554573059082,-1.8818424940109253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.4285939,165278,1639064112,426062976,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13036173582077026,0.5205148458480835,0.20293287932872772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1547815799713135,-10.627861022949219,-1.8076221942901611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639064112.4414437,165279,1639064112,433836817,base_imu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44621264934539795,0.40892839431762695,0.03621898964047432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5634137392044067,-10.903194427490234,-1.5945383310317993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
