Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1639063856.2463026,194,1639063856,237199068,/gps,0,1,23.94743933333333,90.38088033333334,-41.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063857.247725,195,1639063857,237616062,/gps,0,1,23.947429666666668,90.380901,-41.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063858.245104,196,1639063858,235806941,/gps,0,1,23.94741683333333,90.38091583333333,-41.1,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063859.2453172,197,1639063859,236469984,/gps,0,1,23.947404166666665,90.3809375,-41.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063860.2448227,198,1639063860,236057043,/gps,0,1,23.947381333333333,90.38096316666666,-41.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063861.23826,199,1639063861,235605955,/gps,0,1,23.947360166666666,90.3809835,-41.300000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063862.2671106,200,1639063862,263734102,/gps,0,1,23.94734233333333,90.38099666666666,-41.2,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063863.2377164,201,1639063863,234983921,/gps,0,1,23.9473285,90.3810205,-41.300000000000004,1.9599999999999997,0.0,0.0,0.0,1.9599999999999997,0.0,0.0,0.0,7.839999999999999,1
1639063864.23828,202,1639063864,235470056,/gps,0,1,23.947314666666667,90.38104366666667,-41.300000000000004,3.3124000000000002,0.0,0.0,0.0,3.3124000000000002,0.0,0.0,0.0,13.249600000000001,1
1639063865.2455707,203,1639063865,236098051,/gps,0,1,23.947292833333332,90.38106566666667,-41.300000000000004,3.3124000000000002,0.0,0.0,0.0,3.3124000000000002,0.0,0.0,0.0,13.249600000000001,1
